book_id_csv,book_id
1274,1741142393
1275,1840220554
1276,1840224533
1277,184023380X
1278,1840237872
1279,1840239247
1280,184046027X
1281,184046268X
1282,1840681128
1283,1841150355
1284,1841156736
1285,1841157481
1286,184115749X
1287,1841491837
1288,1841492051
1289,1841492663
1290,1841492701
1291,1841492876
1292,1841493554
1293,1841494089
1294,1841581224
1295,184159105X
1296,1841591165
1297,1841591386
1298,1841811106
1299,1841953679
1300,1841954314
1301,1841954748
1302,1841957186
1303,1842122924
1304,1842122932
1305,1842124021
1306,1842163868
1307,184243022X
1308,1842552473
1309,1842931539
1310,1842931857
1311,1843103311
1312,1843534096
1313,1843537206
1314,184354167X
1315,1843607409
1316,1843914115
1317,1844130800
1318,184415145X
1319,1844164039
1320,184416411X
1321,1844350487
1322,1844494241
1323,1844580512
1324,1844670228
1325,1844670554
1326,1845203348
1327,1845390105
1328,1852402873
1329,1852421177
1330,1852426748
1331,1852428082
1332,1852864982
1333,1853260215
1334,1853260401
1335,1853260738
1336,1854596012
1337,1854790471
1338,1855384272
1339,1857024079
1340,1857024699
1341,1857027124
1342,1857028155
1343,1857093313
1344,1857150945
1345,185715133X
1346,1857152743
1347,1857231104
1348,1857232097
1349,1857232569
1350,1857233948
1351,1857234022
1352,1857237501
1353,1857237641
1354,1857239709
1355,1857880781
1356,1857983416
1357,1857988094
1358,1857988191
1359,1857988361
1360,185798837X
1361,1857989120
1362,1857989341
1363,185960515X
1364,185984054X
1365,1859843409
1366,1859843824
1367,1859843832
1368,1859843980
1369,1859848982
1370,1860467229
1371,1860492916
1372,1860499295
1373,1860645887
1374,1861891849
1375,1861974426
1376,1861977697
1377,1861979339
1378,1862073295
1379,1862073708
1380,1862074054
1381,1862301387
1382,1864503823
1383,1879794063
1384,1880393336
1385,1880656418
1386,1880685353
1387,1884365302
1388,1885586426
1389,1885865244
1390,1885972105
1391,1886363064
1392,1887178945
1393,1888690089
1394,1888996285
1395,1889032204
1396,1889963852
1397,1890159190
1398,1890208280
1399,1890447161
1400,189044717X
1401,1890447420
1402,1890771481
1403,1890995525
1404,1891190237
1405,189162041X
1406,1892062437
1407,1892284731
1408,189238938X
1409,1892391201
1410,1892395568
1411,189491712X
1412,1894925025
1413,1895176409
1414,1896597661
1415,189857345X
1416,1903015073
1417,1903252040
1418,1903809509
1419,1904233198
1420,1904271065
1421,1904271553
1422,1904316344
1423,1904633277
1424,1904633382
1425,1904919529
1426,1904920357
1427,1905177046
1428,192752537
1429,192752790
1430,192781537
1431,192801732
1432,192802380
1433,192802631
1434,192802771
1435,192803468
1436,192805347
1437,192806947
1438,192807269
1439,192807293
1440,192822756
1441,192824252
1442,192824546
1443,192831879
1444,192832433
1445,192832603
1446,192832972
1447,192833006
1448,192833073
1449,192833766
1450,192834401
1451,192834428
1452,192835092
1453,192835432
1454,192835858
1455,192836226
1456,192836366
1457,192836897
1458,192837621
1459,192837680
1460,192838741
1461,192838970
1462,192838997
1463,192839195
1464,192839578
1465,192839705
1466,192839993
1467,192840312
1468,192840746
1469,192840940
1470,192854526
1471,1928832431
1472,1929229488
1473,1929241631
1474,1930846452
1475,1930901356
1476,1931082545
1477,1931082731
1478,1931414165
1479,1931615039
1480,1931882207
1481,1932073205
1482,1932100563
1483,1932206086
1484,1932206108
1485,1932361278
1486,1932382607
1487,1932382720
1488,193238622X
1489,1932416129
1490,1932416137
1491,1932416374
1492,1932416382
1493,193241648X
1494,1932416641
1495,1932416773
1496,1932420304
1497,1932420347
1498,1932664394
1499,1932664599
1500,1932796789
1501,1932855416
1502,1932857087
1503,1933045256
1504,1933110333
1505,1933110457
1506,1933368365
1507,1933372192
1508,1933615095
1509,1933633107
1510,1933648279
1511,1933771135
1512,1933771178
1513,1934169072
1514,195023668
1515,195061667
1516,195069056
1517,195101286
1518,195108965
1519,195117956
1520,195119207
1521,195125983
1522,195135792
1523,195169247
1524,195300920
1525,195309685
1526,195325923
1527,198140819
1528,198144962
1529,198320272
1530,198601735
1531,198711557
1532,198782748
1533,199120099
1534,199205647
1535,199264791
1536,199265771
1537,199267170
1538,199280169
1539,2005883
1540,201408252
1541,201748673
1542,20360754
1543,20442602
1544,205479804
1545,224060872
1546,224063022
1547,224064738
1548,226014908
1549,226025977
1550,226042758
1551,226134342
1552,226142698
1553,226142817
1554,2261987
1555,226204057
1556,226204197
1557,226301192
1558,226307654
1559,226307662
1560,226307786
1561,226307808
1562,226307948
1563,226321320
1564,226323986
1565,226329658
1566,226424154
1567,226443221
1568,226500624
1569,226675769
1570,226677141
1571,226735192
1572,226777103
1573,226817415
1574,231054750
1575,231104472
1576,231109253
1577,231118953
1578,231121008
1579,231121911
1580,231124279
1581,231124929
1582,231138709
1583,231138768
1584,237525372
1585,237526883
1586,240805410
1587,240806085
1588,241003008
1589,241142466
1590,24181900
1591,252008073
1592,253201624
1593,253202175
1594,253209102
1595,253214696
1596,261102265
1597,261102303
1598,261102427
1599,261103660
1600,262510871
1601,262532557
1602,262570211
1603,262611333
1604,262632551
1605,268018499
1606,273661949
1607,273704745
1608,275942694
1609,285633147
1610,285635948
1611,285647474
1612,285647873
1613,29131693
1614,29221307
1615,292701322
1616,295976918
1617,295979844
1618,299125408
1619,299178005
1620,300000308
1621,300000898
1622,300044887
1623,300090951
1624,300091699
